Customer_ID,avg_SoW,sow_std,months_active,recent_SoW,early_SoW,sow_trend,total_lifetime_spend,txn_count,recency_days,pct_Apparel,pct_Beauty,pct_Bill Payments,pct_Electronics,pct_Furniture,pct_Grocery,pct_Kids And Toys,pct_Large Applicances,pct_Outdoor,pct_Travel,pctpay_ABC Bank Credit Card,pctpay_Cash/UPI,pctpay_Debit Card,pctpay_Other Bank Credit Card,pctpay_XYZ Wallet,Age,Gender,Membership_Type,Credit_Card_Open_Date,Credit_Card_Closed_Date,Credit_Card_Limit,Credit_Card_APR,is_card_active,tenure_months,credit_utilization_proxy,is_silent_attrition,sow_tier,micro_segment,micro_segment_name,relative_sow_change,target_decline,sow_risk_score,recommended_offer,recoverable_spend,priority_score
85444,-953.7976190474537,1908.261962987916,28,0.0,0.0,0.0,16601.44,4,341,0.3976305669869601,0.0,0.0,0.0,0.0,1.2649505103173963e-05,0.0,0.6023567835079365,0.0,0.0,0.01726898389537293,0.0,0.0,0.0,0.9827310161046271,27,Male,Non-Prime,2024-04-28,,190000.0,34.66,True,27.5,0.087376,0,Dormant/Never Used,,Not Targeted (High/Dormant SoW),,0,0.9192976,Standard engagement nurture,15851015.38475916,14571800.01956512
77629,-31.149450549450997,70.2126411270584,28,-78.37362637362749,0.0,0.0,42200.72,13,26,0.05215716698672441,0.0,0.00012938167879599977,0.4099446644512227,0.0,0.02145958647151044,0.07734891726965798,0.35697732171394236,0.0,0.08198296142814626,0.09856206244822362,0.0937630921936877,0.18196348308749233,0.09063684221501433,0.535074520055582,59,Female,Prime,2022-12-06,2025-03-04,126000.0,33.57,False,44.4,0.3349263492063492,0,Dormant/Never Used,,Not Targeted (High/Dormant SoW),,0,0.7471565,Standard engagement nurture,1356729.9607912276,1013689.6100574709
51672,-24.24510441841849,89.04362738559233,52,0.0,0.0,0.0,40871.83,16,59,0.031107733615059564,0.17506287337758059,0.0,0.24018327537572942,0.2504441323033493,0.034717554853795386,0.10313215728290119,0.025357073563870302,0.0,0.13999519962771423,0.4321105759150006,0.1312676726243968,0.38803767778443005,-0.01663982258685261,0.06522389626302516,57,Female,Non-Prime,2022-04-18,,147000.0,33.27,True,52.2,0.2780396598639456,1,Dormant/Never Used,,"Silent Attrition (Card Active, Unused)",,0,0.806731,"Urgent win-back: direct outreach + reactivation bonus (e.g. one-time 5% cashback on next purchase) — this cohort abandoned the card without closing it, so standard engagement triggers won't reach them; needs proactive contact",1031813.6161218494,832396.0155322787
18519,-179.87272727271926,402.76689523943253,30,-450.1818181817981,0.0,0.0,7138.01,5,8,0.26544513106594136,-0.11186451125733923,0.0,0.0,0.5694934582607758,0.2765252500346735,-0.36075040522498564,0.0,0.36115107712093425,0.0,0.2087430530357901,0.36115107712093425,0.26544513106594136,-0.11186451125733923,0.2765252500346735,22,Male,Non-Prime,2024-02-02,,236000.0,30.76,True,30.3,0.030245805084745763,0,Dormant/Never Used,,Not Targeted (High/Dormant SoW),,0,0.57198507,Standard engagement nurture,1291071.3359999429,738473.5232513525
11040,-14.923888940106702,58.996125870789854,56,0.0,0.0,0.0,90957.1,26,61,0.1277060284463775,0.01130082203588285,-0.008456074347137278,0.25693959020241414,0.23920969336093612,0.006233488094937065,0.03308438813462611,0.13930358377740715,-0.014596661503060241,0.20927514179761667,0.22700229009060316,0.14379273305767223,0.18801918706730975,0.09970722461468098,0.34147856516973385,39,Male,Non-Prime,2021-12-07,,252000.0,34.21,True,56.6,0.360940873015873,1,Dormant/Never Used,,"Silent Attrition (Card Active, Unused)",,0,0.38966113,"Urgent win-back: direct outreach + reactivation bonus (e.g. one-time 5% cashback on next purchase) — this cohort abandoned the card without closing it, so standard engagement triggers won't reach them; needs proactive contact",1448390.7587141793,564381.58448637
52971,-24.050439367311807,76.40617763404924,35,0.0,0.0,0.0,37036.909999999996,13,5,0.10575720274720543,0.1248030680745235,0.025661968020550315,0.0,0.35223780817568207,0.08080101714748882,0.0,0.368137622712046,-0.057398686877496004,0.0,0.26365347433141695,0.14765405645341362,0.025661968020550308,0.18037411868322706,0.382656382511392,30,Female,Prime,2023-09-28,,169000.0,34.22,True,34.6,0.21915331360946744,1,Dormant/Never Used,,"Silent Attrition (Card Active, Unused)",,0,0.49894276,"Urgent win-back: direct outreach + reactivation bonus (e.g. one-time 5% cashback on next purchase) — this cohort abandoned the card without closing it, so standard engagement triggers won't reach them; needs proactive contact",927790.8683075842,462914.53896077524
12965,-185.2804726368115,320.91519225733265,28,0.0,0.0,0.0,2580.52,3,206,0.7341349805465563,0.0,0.0,0.0020771007393859094,0.0,0.2637879187140576,0.0,0.0,0.0,0.0,-1.1545386201230758,0.7341349805465563,0.0,1.4204036395765192,0.0,20,Male,Non-Prime,2023-10-12,2026-01-04,251000.0,30.57,False,34.1,0.010280956175298804,0,Dormant/Never Used,,Not Targeted (High/Dormant SoW),,0,0.85685974,Standard engagement nurture,480700.48524874484,411892.89453629084
36529,-14.904439986389791,42.760744566763584,39,0.0,0.0,0.0,43157.21,13,49,0.17055504746483843,0.0,0.03469547730263379,0.4338394442087429,0.18756425635484777,-0.005313133077879686,0.02309324444281732,-0.22980725584438846,0.0,0.38537291914838795,-0.027031867908050598,0.3566972934533998,0.02309324444281732,0.22225973365748158,0.42498159635435195,53,Female,Prime,2023-05-14,,171000.0,34.03,True,39.1,0.25238134502923976,0,Dormant/Never Used,,Not Targeted (High/Dormant SoW),,0,0.5951568,Standard engagement nurture,686391.2564250213,408510.41605215153
22628,-8.897776942004835,33.63214024390537,26,0.2058789457483393,0.0,0.0,40257.770000000004,18,48,0.023665245243340603,0.12046395018899457,0.06601408870883806,0.24635244326747358,0.16262674261391027,0.04414675725953027,0.032454107616989206,0.21141136232831576,0.0,0.09286530277260761,0.054716642277999994,0.4654477880915907,0.16575930559491994,0.07313296290380714,0.24094330113168214,37,Male,Non-Prime,2024-06-25,,234000.0,30.99,True,25.5,0.17204175213675216,0,Dormant/Never Used,,Not Targeted (High/Dormant SoW),,0,0.6094108,Standard engagement nurture,398462.427642534,242827.31572175422
62222,-7.061579775905177,9.986581890864661,8,-14.123159551810353,0.0,-14.123159551810353,32750.449999999997,8,125,0.0,0.0498664903841016,-0.046569131111175575,0.0,0.8346770807729359,0.04816147564384611,0.0,0.0,0.0,0.11386408431029191,-0.046569131111175575,0.0,0.2083809535441498,0.015240095937613073,0.8229480816294128,44,Male,Non-Prime,2025-08-15,2026-03-30,284000.0,28.14,False,11.7,0.11531848591549294,1,Dormant/Never Used,,"Silent Attrition (Card Active, Unused)",,0,0.91252947,"Urgent win-back: direct outreach + reactivation bonus (e.g. one-time 5% cashback on next purchase) — this cohort abandoned the card without closing it, so standard engagement triggers won't reach them; needs proactive contact",264020.3653717937,240926.36369550295
